key,input,solubility
KCXVZYZYPLLWCC-UHFFFAOYSA-N,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-0.413
LOUPRKONTZGTKE-VOMFEXJBSA-N,COc1ccc2nccc([C@@H](O)[C@@H]3CC4CCN3C[C@@H]4C=C)c2c1,-3.09
LOUPRKONTZGTKE-LHHVKLHASA-N,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,-3.09
BACYUWVYYTXETD-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)N(C)CC(O)=O,-3.101
AEEGJNJYJCGJFZ-LURJTMIESA-N,CC(C)COC(=O)[C@H](C)Cl,-1.792
VLUMOWNVWOXZAU-CLFYSBASSA-N,C/C(C=O)=C/c1ccccc1,-1.758
JRIATCFPZFOVNP-UHFFFAOYSA-N,CC(C)=CC1CC(=C)CCO1,-2.115
HZPKNSYIDSNZKW-UHFFFAOYSA-N,CCCC(C)C(=O)OCC,-1.739
SJMYWORNLPSJQO-UHFFFAOYSA-N,CC(=C)C(=O)OC(C)(C)C,-1.533
UZKWTJUDCOPSNM-UHFFFAOYSA-N,CCCCOC=C,-0.627
IPRJXAGUEGOFGG-UHFFFAOYSA-N,CCCCN[S](=O)(=O)c1ccccc1,-1.938
NETOHYFTCONTDT-UHFFFAOYSA-N,CC1(C)CCCC(C)(O1)C=C,-2.53
QUDAPQXQGBIUAR-UHFFFAOYSA-N,CC1=Nc2ccc(cc2C1(C)C)C(O)=O,-2.831
AKIIJALHGMKJEJ-UHFFFAOYSA-N,CC1CCCCC1OC(C)=O,-1.836
BFCFYVKQTRLZHA-UHFFFAOYSA-N,[O-][N+](=O)c1ccccc1Cl,-2.471
FECDACOUYKFOOP-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C(C)O,-2.308
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,-2.012
REHXRBDMVPYGJX-UHFFFAOYSA-H,[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+].[Al+3],-2.893
ZPTVNYMJQHSSEA-UHFFFAOYSA-N,Cc1ccc(cc1)[N+]([O-])=O,-2.165
SCCDQYPEOIRVGX-UHFFFAOYSA-N,COc1cc(CC=C)ccc1OC(C)=O,-2.932
BKOOMYPCSUNDGP-UHFFFAOYSA-N,CC=C(C)C,-1.506
NKUOWQPBYUKRIM-ZWNOBZJWSA-N,OC[C@@H]1CO[C@](Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-2.753
SOGAXMICEFXMKE-UHFFFAOYSA-N,CCCCOC(=O)C(C)=C,-1.594
ITVGXXMINPYUHD-CUVHLRMHSA-N,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O,-2.566
BODRLKRKPXBDBN-UHFFFAOYSA-N,CC(CCO)CC(C)(C)C,-1.789
MZDBQSFPAMTTIS-UHFFFAOYSA-N,Oc1cc(Cl)ccc1[N+]([O-])=O,-2.438
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,-1.91
VRHAQNTWKSVEEC-UHFFFAOYSA-N,CCOC(=O)N1C(=O)c2ccccc2C1=O,-2.357
OXYRENDGHPGWKV-UHFFFAOYSA-N,CC(CCO)CCc1ccccc1,-2.004
RUPBZQFQVRMKDG-UHFFFAOYSA-M,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,-2.877
TTXIFFYPVGWLSE-UHFFFAOYSA-P,Fc1ccc(cc1)C([NH+]2CC[NH2+]CC2)c3ccc(F)cc3,-1.824
XZTOTRSSGPPNTB-UHFFFAOYSA-N,Nc1nc(N)nc(N)n1.O[P](O)(=O)O[P](O)(O)=O,-2.254
SCZQUWZLEIYDBD-UHFFFAOYSA-N,Cc1ccc(NCCO)c(c1)[N+]([O-])=O,-2.019
VGIYPVFBQRUBDD-UHFFFAOYSA-N,C=COC1CCCCC1,-1.613
MWZJGRDWJVHRDV-UHFFFAOYSA-N,C=COCCCCOC=C,-0.602
HBZVNWNSRNTWPS-UHFFFAOYSA-N,Nc1ccc2cc(cc(O)c2c1)[S](O)(=O)=O,-2.221
NPHMJNPFGARTFL-UHFFFAOYSA-L,[Na+].[Na+].CC1=NN(c2cccc(c2)[S]([O-])(=O)=O)C(=O)C1N=Nc3cc(Cl)c(Cl)cc3[S]([O-])(=O)=O,-2.044
ZVBGUWYOZNSIJF-UHFFFAOYSA-N,CCc1ccc(CC)cc1.CC(C)c2ccccc2.Cc3ccccc3.Cc4cc(C)cc(C)c4.C5CCc6ccccc6C5.C7Cc8ccccc8C7.C9C=Cc%10ccccc9%10.c%11ccccc%11.c%12ccc%13ccccc%13c%12,-6.156
KXUYVAICGNQKKK-UHFFFAOYSA-N,CCCCC.CCc1ccccc1.Cc2ccccc2.Cc3cccc(C)c3.C4CCCC4,-6.562
UVCJGUGAGLDPAA-UHFFFAOYSA-N,O[S](=O)(=O)c1ccc2nc([nH]c2c1)c3ccccc3,-2.98
MHNCXEKWIFKKSF-UHFFFAOYSA-N,Cc1ccccc1.C=Cc2ccccc2.c3ccccc3,-5.779
RGVLTEMOWXGQOS-UHFFFAOYSA-L,[Mn++].[O-]C(=O)C([O-])=O,-1.836
TWQULNDIKKJZPH-UHFFFAOYSA-K,[Li+].[Li+].[Li+].[O-][P]([O-])([O-])=O,-0.69
SUFDFKRJYKNTFH-UHFFFAOYSA-N,COc1ccc2CCCCc2c1,-3.106
KQSABULTKYLFEV-UHFFFAOYSA-N,Nc1cccc2c(N)cccc12,-1.877
ZBLQQRZVKHLRBF-UHFFFAOYSA-N,CC(O)CCC1CCCCC1,-1.955
HQYOWPDUMCBSLQ-UHFFFAOYSA-L,[Ba++].OC(C(O)C([O-])=O)C([O-])=O,-0.434
QLCJOAMJPCOIDI-UHFFFAOYSA-N,CCCCOCOCCCC,-1.406
KMPWYEUPVWOPIM-QAMTZSDWSA-N,O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34,-2.771
WOWHHFRSBJGXCM-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C,-2.151
ZNLDISJPOBTICN-UHFFFAOYSA-N,CC1(C)COC(=O)C2CC=CCC2C(=O)OC1,-2.121
NOOLISFMXDJSKH-MGRQHWMJSA-N,CC(C)[C@H]1CC[C@@H](C)CC1O,-1.861
NVAGRWXDIIKUBU-UHFFFAOYSA-N,COC(=O)C1C(=CCCC1(C)C)C,-2.511
PPWNCLVNXGCGAF-UHFFFAOYSA-N,CC(C)(C)C#C,-2.193
RSHHCURRBLAGFA-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,-4.58
MJTPMXWJHPOWGH-UHFFFAOYSA-N,CC(C)C(=O)OCCOc1ccccc1,-2.508
NVIAYEIXYQCDAN-UHFFFAOYSA-N,CC1=C(N2C(SC1)C(N)C2=O)C(O)=O,-1.083
OLEJYVBTZPUQDX-UHFFFAOYSA-N,Cc1ccc(C(N)=O)c(O)c1,-1.507
CENVPIZOTHULGJ-UHFFFAOYSA-N,Clc1ccc2CC(=O)Nc2c1,-2.797
UKLOORXNVRHFRM-UHFFFAOYSA-N,CC(Cc1ccccc1)(C=C)C#N,-2.684
JBSLOWBPDRZSMB-FPLPWBNLSA-N,CCCCOC(=O)\C=C/C(=O)OCCCC,-2.627
LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-0.51
KICUISADAVMYCJ-UHFFFAOYSA-N,CCCCC(CC)C(=O)OC,-2.207
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1CCC=CC1,-2.286
DSUNWRHRAQZLNC-UHFFFAOYSA-N,OCCN1C(=O)Nc2ccccc2C1=O,-1.758
PHXATPHONSXBIL-JTQLQIEISA-N,CCCCCCC[C@H]1CCC(=O)O1,-2.845
FUFJGUQYACFECW-UHFFFAOYSA-L,[Ca++].O[P]([O-])([O-])=O,-0.201
YWAKXRMUMFPDSH-UHFFFAOYSA-N,CCCC=C,-2.099
BBBUAWSVILPJLL-UHFFFAOYSA-N,CCCCC(CC)COCC1CO1,-2.02
RKVCQBPDVHFKCU-UHFFFAOYSA-N,O=[P]12OB(O1)O2,-4.368
UKVLTPAGJIYSGN-UHFFFAOYSA-N,OC(Cn1ccnc1)c2ccc(Cl)cc2Cl,-2.389
SEGLCEQVOFDUPX-UHFFFAOYSA-N,CCCCC(CC)CO[P](O)(=O)OCC(CC)CCCC,-4.129
HOSFCSQXJQXSIQ-ZPZFBZIMSA-L,[Na+].[Na+].[O-][S](=O)(=O)c1cc(Nc2nc(Nc3ccccc3)nc(Nc4ccccc4)n2)ccc1\C=C\c5ccc(Nc6nc(Nc7ccccc7)nc(Nc8ccccc8)n6)cc5[S]([O-])(=O)=O,-1.698
PBLZLIFKVPJDCO-UHFFFAOYSA-N,[NH3+]CCCCCCCCCCCC([O-])=O,-1.17
LETLQGKRPMMKKC-UHFFFAOYSA-N,CC(C)CC1CC(C)CCO1,-2.557
HLBZWYXLQJQBKU-UHFFFAOYSA-N,C1CN(CCO1)SSN2CCOCC2,-0.403
HKJCELUUIFFSIN-UHFFFAOYSA-N,Fc1cc(Br)cc(F)c1F,-3.401
HOEFWOBLOGZQIQ-UHFFFAOYSA-N,S=C(SN1CCOCC1)N2CCOCC2,-2.121
POQDXIFVWVZVML-UHFFFAOYSA-N,CCC(=O)N(C1CCN(CC1)Cc2ccccc2)c3ccccc3,-3.648
OPLCSTZDXXUYDU-UHFFFAOYSA-N,Cc1cc(C)c(O)c(c1)C(C)(C)C,-2.964
UDQCDDZBBZNIFA-UHFFFAOYSA-N,Cc1cccc2NC(=S)Nc12,-2.753
UZWXBVXWDIJVKW-UHFFFAOYSA-I,[Na+].[Na+].[Na+].[Na+].[Na+].CCCCCCCCCCCC(O)=O.CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC(=O)OC(C)C([O-])=O.CCCCCCCCCC(O)=O.CCCCCCCCCC([O-])=O.CCCCCCCCCC(=O)OC(C)C([O-])=O.CC(O)C([O-])=O,-5.372
KMPQYAYAQWNLME-UHFFFAOYSA-N,CCCCCCCCCCC=O,-3.697
XILPLWOGHPSJBK-UHFFFAOYSA-N,FC(F)(F)c1ccc(Cl)c(Cl)c1,-4.111
MIUUNYUUEFHIHM-UHFFFAOYSA-N,CC(O)COc1ccc(cc1)C(C)(C)c2ccc(OCC(C)O)cc2,-3.665
UPSXAPQYNGXVBF-UHFFFAOYSA-N,CCC(C)Br,-1.689
RJASFPFZACBKBE-UHFFFAOYSA-N,CC(C)COC(=O)Cc1ccccc1,-2.85
GBFFSHZRGVVSDW-ASWBSXDLSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4(O)C#CCO,-4.059
NPDACUSDTOMAMK-UHFFFAOYSA-N,Cc1ccc(Cl)cc1,-2.48
INYHZQLKOKTDAI-UHFFFAOYSA-N,C=CC1CC2CC1C=C2,-3.617
RHRRUYIZUBAQTQ-UHFFFAOYSA-N,CC(C)CCC(C)(O)C#CC(C)(O)CCC(C)C,-3.12
ZOPQVUGKTLTCMT-UHFFFAOYSA-N,S.[Ni],-2.139
WBJZTOZJJYAKHQ-UHFFFAOYSA-K,[Fe+3].[O-][P]([O-])([O-])=O,-0.248
LJGHYPLBDBRCRZ-UHFFFAOYSA-N,Nc1cccc(c1)[S](=O)(=O)c2cccc(N)c2,-3.283
KYEZYLFPHRVFBF-UHFFFAOYSA-N,CCOC(=O)C1=C(C)C=CCC1(C)C,-2.946
FJLUATLTXUNBOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN,-4.526
REYJJPSVUYRZGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCN,-5.169
UZJZIZFCQFZDHP-UHFFFAOYSA-N,[O-][N+](=O)c1cccc(C#N)c1C#N,-2.963
HWFSVCPXNLEACG-UHFFFAOYSA-N,ClCCN1C(=O)Nc2ccccc2C1=O,-3.037
OEVIJAZJVZDBQL-UHFFFAOYSA-N,CC1(C)CCC=C(C1)C(=O)CCC=C,-3.34
AAOLSIAQZZQQCI-IKFJUQJOSA-N,CCCC[C@H](CC)COCCOCCOC(=O)C=C.CCCC[C@@H](CC)COCCOCCOC(=O)C=C,-4.813
QTQCXPMMVMMHIW-UHFFFAOYSA-I,[Na+].[Na+].[Cr+3].Cc1nn(c([O-])c1N=Nc2cc(ccc2[O-])[S]([O-])(=O)=O)c3ccccc3.[O-]c4ccc(cc4N=Nc5c([O-])ccc6ccccc56)N=Nc7ccccc7,-2.047
YLNYLLVKHRZLGO-UHFFFAOYSA-N,CCOC(=C)C1C(C)(C)CC(=O)CC1(C)C,-3.513
LTELZMDSXFWIGP-UHFFFAOYSA-N,[Cl-].C[N+](C)=CCC(O)CC(N)=O,-0.449
RNABGKOKSBUFHW-UHFFFAOYSA-N,[O-][N+](=O)c1cc(Cl)cc(Cl)c1,-3.302
CMKBCTPCXZNQKX-UHFFFAOYSA-N,SC1CCCCC1,-2.704
TUTLDIXHQPSHHQ-UHFFFAOYSA-N,[S--].[S--].[Sn+4],-1.273
NJKRFQIWDJSYOK-UHFFFAOYSA-P,Cc1cccc(C)c1NC(=O)C[NH+]2CC[NH2+]CC2,-0.922
WCTAGTRAWPDFQO-UHFFFAOYSA-K,[Na+].[Na+].[Na+].OC([O-])=O.[O-]C([O-])=O,-1.95
RKLQLYBJAZBSEU-UHFFFAOYSA-N,N[S](=O)(=O)c1sc(Cl)cc1,-1.521
RISGISSUGUGJMO-UHFFFAOYSA-N,CC(C)N(C(=O)CO)c1ccc(F)cc1,-1.82
WCMHCPWEQCWRSR-UHFFFAOYSA-J,[OH-].[Cu++].[Cu++].[O-][P]([O-])([O-])=O,-0.376
SJWKGDGUQTWDRV-UHFFFAOYSA-N,CCCCCCC(=O)OCC=C,-2.846
KNDDEFBFJLKPFE-UHFFFAOYSA-N,CCCCCCCc1ccc(O)cc1,-3.424
NISAHDHKGPWBEM-UHFFFAOYSA-N,CCCCCCCCCc1ccc(OCC(O)=O)cc1,-4.708
WGIWBXUNRXCYRA-UHFFFAOYSA-H,[Zn++].[Zn++].[Zn++].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,-0.634
UGMGEYBGNHXQQO-UHFFFAOYSA-N,CCCCCCCCCC(C)(C)SSC1=NNC(=S)S1,-5.949
RNLHVODSMDJCBR-VURMDHGXSA-N,CC(O)C(C)\C=C/C1CC=C(C)C1(C)C,-2.828
JNWGUZKRVDKZBI-UHFFFAOYSA-N,[H+].[Cl-].NNC(=O)C(N)CO,0.246
WOCGGVRGNIEDSZ-UHFFFAOYSA-N,CC(C)(c1ccc(O)c(CC=C)c1)c2ccc(O)c(CC=C)c2,-5.431
DFDWGIZZMBNYBV-UHFFFAOYSA-N,CC(C)CC1(C)OCC(CO)O1,-0.603
SFZCNBIFKDRMGX-UHFFFAOYSA-N,F[S](F)(F)(F)(F)F,-6.451
YKGBNAGNNUEZQC-UHFFFAOYSA-N,CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,-6.162
FSXGJIFBTBJMHV-UHFFFAOYSA-N,C1CN(CCC1Nc2ccccc2)Cc3ccccc3,-2.89
GFIYIIRFIODLLU-UHFFFAOYSA-N,OC(=O)C(CCBr)(c1ccccc1)c2ccccc2,-4.114
UJVLDDZCTMKXJK-UHFFFAOYSA-N,CC12CCC(=O)C=C1C=CC3C2CCC4(C)C3CCC45CCC(=O)O5,-5.289
PLHAFYWVSVUQCQ-XXAVUKJNSA-L,[Na+].[Na+].CCCCCCCC\C=C/CCCCCCCCNC(=O)CC(C([O-])=O)[S]([O-])(=O)=O,-0.874
ZNJXRXXJPIFFAO-UHFFFAOYSA-N,CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-4.402
AAOISIQFPPAFQO-UHFFFAOYSA-N,CC(C)(C)CCCCC(O)=O,-1.994
MODAACUAXYPNJH-UHFFFAOYSA-N,COCc1ccc(cc1)c2ccc(COC)cc2,-3.272
CSKKAINPUYTTRW-UHFFFAOYSA-N,CCCCCCCCCCCCCCOC(=O)OOC(=O)OCCCCCCCCCCCCCC,-7.637
MBMLMWLHJBBADN-UHFFFAOYSA-N,S=[Fe],-6
HECLRDQVFMWTQS-UHFFFAOYSA-N,C1C=CC2C3CC(C=C3)C12,-3.857
RBGLEUBCAJNCTR-UHFFFAOYSA-N,CC(C)CCCC(C)CCCC(C)=O,-4.222
URYYVOIYTNXXBN-UPHRSURJSA-N,C1CCC\C=C/CC1,-3.437
KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,-2.433
XFAOZKNGVLIXLC-UHFFFAOYSA-N,CO[Si](CC(C)C)(OC)C(C)C,-2.785
WUPCFMITFBVJMS-UHFFFAOYSA-N,CN1C(C)(C)CC(CC1(C)C)OC(=O)CC(C(CC(=O)OC2CC(C)(C)N(C)C(C)(C)C2)C(=O)OC3CC(C)(C)N(C)C(C)(C)C3)C(=O)OC4CC(C)(C)N(C)C(C)(C)C4,-5.331
NVUYWKBRSRPYMH-UHFFFAOYSA-N,[H+].[Cl-].OC(=O)C1CCNCC1,0.291
AHHPZGUFLGCZCF-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN2C(=O)c3ccccc3C2=O)NC(=C(C1c4ccccc4Cl)C(=O)OC)C,-6.582
TWXUTZNBHUWMKJ-UHFFFAOYSA-N,C=CCOC(=O)CCC1CCCCC1,-3.59
ZINJLDJMHCUBIP-UHFFFAOYSA-N,CCOc1nc(NC)nc(NC(=O)N[S](=O)(=O)c2ccccc2C(=O)OC)n1,-4.27
VTYYLEPIZMXCLO-UHFFFAOYSA-L,[Ca++].[O-]C([O-])=O,-2.037
WECDUOXQLAIPQW-UHFFFAOYSA-N,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,-3.3
UDYXMTORTDACTG-UHFFFAOYSA-N,CCCCNC(=S)N(CCCC)CCCC,-2.901
SAIKULLUBZKPDA-UHFFFAOYSA-N,CCCCC(CC)CNCC(CC)CCCC,-4.012
IBOFVQJTBBUKMU-UHFFFAOYSA-N,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,-3.696
QZFSNJAQFWEXEA-MDZDMXLPSA-N,CC(O)C(C)(C)\C=C\C1CC=C(C)C1(C)C,-3.233
QUXFOKCUIZCKGS-UHFFFAOYSA-N,CC(CC(C)(C)C)C[P](O)(=O)CC(C)CC(C)(C)C,-3.34
VUDOFEJVAFMLEC-UHFFFAOYSA-N,N[S](=O)(=O)c1ccc(NC(=S)Nc2ccc(F)cc2)cc1,-3.539
PULNLYVCJSOXKS-UHFFFAOYSA-N,CCOC(=O)c1nn(c2ccc(OC)cc2)c3C(=O)N(CCc13)c4ccc(cc4)N5CCCCC5=O,-6.85
HIJLVSVTJNDDHT-UHFFFAOYSA-N,ON1CC(=O)N=C2C=CC(=CC2=C1c3ccccc3Cl)Cl,-5.404
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-2.951
YXZZOMVBHPCKMM-UHFFFAOYSA-N,NC(NC#N)=NCCCCCCN=C(N)NC#N,-1.838
WAQIIHCCEMGYKP-UHFFFAOYSA-N,CCC(=O)OC(C)(CCC=C(C)C)C=C,-4.228
OTFBCUKLFXRMQQ-UHFFFAOYSA-H,[Na+].[Na+].[Na+].[Cr+3].Cc1nn(c([O-])c1N=Nc2c([O-])cc(c3ccccc23)[S]([O-])(=O)=O)c4ccccc4.Cc5nn(c([O-])c5N=Nc6c([O-])cc(c7ccccc67)[S]([O-])(=O)=O)c8ccccc8,-1.582
QIVLQXGSQSFTIF-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.CO[S]([O-])(=O)=O,-1.694
ZKHZWXLOSIGIGZ-UHFFFAOYSA-N,COC1=Cc2ccccc2Nc3ccccc13,-4.653
KEVYVLWNCKMXJX-UHFFFAOYSA-N,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C,-6.077
NNBFNNNWANBMTI-UHFFFAOYSA-M,CCN(CC)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(CC)CC.O[S]([O-])(=O)=O,-1.336
PFKPABPFEUSONI-ICSRJNTNSA-N,CC[C@]12CCC3=C(CCc4cc(OC)ccc34)[C@@H]1CCC2=O,-6.25
XFFZLECPCHQJIR-GFEQUFNTSA-N,COC1=CCC2=C(CC[C@@H]3[C@@H]2CC[C@]4(C)[C@@H](O)CC[C@@H]34)C1,-4.601
OMXFYKCGCDGYNC-KAMYIIQDSA-N,CCC1(C/C=C2/CCCc3cc(OC)ccc23)C(=O)CCC1=O,-5.781
XMWCXZJXESXBBY-UHFFFAOYSA-L,[Mn++].[O-]C([O-])=O,-2.037
CYDZMDOLVUBPNL-UHFFFAOYSA-N,CC(=O)OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,-6.628
NSUVCVKCWGOYPV-UHFFFAOYSA-N,COC1=CCC2=C(CCC3C2CCC4(C)C3CCC4=O)C1,-5.142
XQVWYOYUZDUNRW-UHFFFAOYSA-N,N(c1ccccc1)c2cccc3ccccc23,-4.875
XFDQLDNQZFOAFK-UHFFFAOYSA-N,O=C(OCCOC(=O)c1ccccc1)c2ccccc2,-3.749
GNRSAWUEBMWBQH-UHFFFAOYSA-N,O=[Ni],-6.586
DAWDTDPJINNEJM-UHFFFAOYSA-N,CC1CCC2(C)C(=CCCC2(C)C1OC=O)C,-4.106
PXMJCECEFTYEKE-UHFFFAOYSA-N,COC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-5.337
WKTJXDHLMJKSGI-UHFFFAOYSA-N,C1CC(CC=C1)C2OCC3(CO2)COC(OC3)C4CCC=CC4,-3.198
AOOKHLGAVNECET-UHFFFAOYSA-N,CCC(C)C(C)C(C)CCc1ccc(O)cc1,-4.687
PQMRKLSVUBRLLQ-XSYGEPLQSA-N,CC[C@]12CC[C@H]3[C@@H](CCC4=C3CC=C(C4)OC)[C@@H]1CCC2=O,-5.537
FJFYFBRNDHRTHL-UHFFFAOYSA-N,CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(c1)C(=O)OCCCCCCCC(C)C,-7.79
SKQUUKNCBWILCD-UHFFFAOYSA-J,[OH-].[OH-].[OH-].[Cl-].[Cu++].[Cu++],-0.198
DUBNHZYBDBBJHD-UHFFFAOYSA-L,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,-1.159
WHWDWIHXSPCOKZ-UHFFFAOYSA-N,CC(C)CCCC(C)CCCC(C)CCCC(C)=O,-6.114
VASIZKWUTCETSD-UHFFFAOYSA-N,O=[Mn],-6.586
UVGUPMLLGBCFEJ-SWTLDUCYSA-N,CC(C)C(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@H](OC(=O)C(C)C)[C@H]2OC(=O)C(C)C)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,-5.733
PWHULOQIROXLJO-UHFFFAOYSA-N,[Mn],-6.858
BYMUNNMMXKDFEZ-UHFFFAOYSA-K,[F-].[F-].[F-].[La+3],-1.943
NZZIMKJIVMHWJC-UHFFFAOYSA-N,O=C(CC(=O)c1ccccc1)c2ccccc2,-3.399
GLFDXJBEJWBCQP-RVDMUPIBSA-N,CC1=CC(=N/Nc2ccccc2[N+]([O-])=O)\C(=O)C=C1,-4.736
QPLDLSVMHZLSFG-UHFFFAOYSA-N,O=[Cu],-6.586
CADNYOZXMIKYPR-UHFFFAOYSA-B,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-][P]([O-])(=O)O[P]([O-])([O-])=O.[O-][P]([O-])(=O)O[P]([O-])([O-])=O.[O-][P]([O-])(=O)O[P]([O-])([O-])=O,-0.207
FFGHLLOLFQHABK-UHFFFAOYSA-L,CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC,-7.456
PRNNATBNXILRSR-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC,-7.716
YCDZXIYKJHQMIG-UHFFFAOYSA-N,CC(=O)OC1(CCC2C3CC(=C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O,-5.903
LMODBLQHQHXPEI-UHFFFAOYSA-N,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,-5.493
RQNAOIQEGPVYTC-UHFFFAOYSA-N,CCOC(=O)c1nn(c2ccc(OC)cc2)c3C(=O)N(CCc13)c4ccc(cc4)[N+]([O-])=O,-7.127
BHQZSXXOSYWJSZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOCCCN(C)C,-5.249
GUVRBAGPIYLISA-UHFFFAOYSA-N,[Ta],-6.858
MEZZCSHVIGVWFI-UHFFFAOYSA-N,COc1ccc(c(O)c1)C(=O)c2ccccc2O,-3.719
CFDIRYSIEKJPRZ-UHFFFAOYSA-N,O=C1CCCCCN1C(=O)Nc2ccc(Cc3ccc(NC(=O)N4CCCCCC4=O)cc3)cc2,-6.784
DBHQYYNDKZDVTN-UHFFFAOYSA-N,Cc1ccc(Sc2ccc(cc2)C(=O)c3ccccc3)cc1,-6.562
AVVJXRYTKMKDQS-UHFFFAOYSA-N,CC(C(C)(C)C)C(C)(C)SSSC(C)(C)C(C)C(C)(C)C,-6.73
ONDPHDOFVYQSGI-UHFFFAOYSA-N,[Zn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,-0.858
ROSHGJWNZDDJFF-UHFFFAOYSA-L,[Ba++].CC(C)(C)CC(C)(C)CC([O-])=O.CC(C)(C)CC(C)(C)CC([O-])=O,-3.532
RKHXQBLJXBGEKF-UHFFFAOYSA-M,[Br-].CCCC[P+](CCCC)(CCCC)CCCC,-1.219
KJJPLEZQSCZCKE-UHFFFAOYSA-N,NC(CO)CO,1.235
YPNVIBVEFVRZPJ-UHFFFAOYSA-N,[Ag+].[Ag+].O[S](O)(=O)=O,-1.863
CNFDGXZLMLFIJV-UHFFFAOYSA-L,O.O.O.O.[Cl-].[Cl-].[Mn++],-0.12
LENZDBCJOHFCAS-UHFFFAOYSA-N,NC(CO)(CO)CO,1.01
NRTLTGGGUQIRRT-UHFFFAOYSA-N,[Br-].CC[NH+](CC)CC,0.968
WLTHPEHYBIKNHR-UHFFFAOYSA-M,CO[S]([O-])(=O)=O.C[N+](CCO)(CCO)CCO,0.625
DWBRKIMUGXLNBO-UHFFFAOYSA-L,[Na+].[Na+].CCCCCCCCCCCCCCCCc1c(Oc2ccccc2[S]([O-])(=O)=O)cccc1[S]([O-])(=O)=O,-1.136
RZOXALOSBVDYRY-UHFFFAOYSA-N,[NH4+].[NH4+].[O-]C(=O)CSSCC([O-])=O,-0.268
OJZGCEDLMNSDNY-UHFFFAOYSA-N,OCCCOCC(OCCCO)C(OCCCO)C(OCCCO)C(COCCCO)OCCCO,-0.373
INVVMIXYILXINW-UHFFFAOYSA-N,CC1=CC(=O)N2NC=NC2=N1,-1.325
